id,text,score,score2
3788,"Throughout my life, I have seen many books that seem offensive to me. However, they should not be censored just because they seem offensive. I believe that books that are found offensive should not be censored.     A reason why I think books that are found offensive should not be censored is because what seems offensive to one person, @MONTH1 not be offensive to another. Classifying something as offensive is an opinion. Unless everyone in the whole world thought that a book was offensive, it should be able to remain open to the public.         Another reason why we should not censor books that are found to be offensive is because in our @LOCATION1, we are given the right to express ourselves freely. If we censored books that are found to be offensive, we would be violating this right. This would not be fair to the people who wrote the books and to those who like them.     The next reason why we should not censor books that are found to be offensive is that if we were to censor every book that we found offensive, we would not have any books to read at all. Books that some people like are found offensive by others. For example, suppose a few people loved the @ORGANIZATION1 @ORGANIZATION1 series but another person who read it later found it offensive and had it censored. The people who loved the @ORGANIZATION1 series would now find the books the other person likes and censor them. If this continued, we would have no books to read.     Another reason why I believe books should not be censored is because without offensive books, we would never learn from terrible mistakes. Suppose every book relating to both world wars were censored and could not be read. Sooner or later, no one would remember what terrible things happpened and history could possibly repeat itself. Unless having books that seem offensive is worse than having the events we dread happen again, then books that are found offensive should not be censored.     I believe books that are found to be offensive should not be censored because without them, we would be violating the right to freely express ourselves and we would be allowing terrible things that happened in the past to be forgotten. Without books that are considered offensive, we would not have any books to read at all",4,4
3205,"Everyone today gets offeneded daily. So to go to a library and see offensive material on the shelfs is no different than the rest of the day. However, there are those minds, which have not been poluted and influenced by these offensive materials, that should have a right to keep thier minds that way.      One solution to the problem could be that we start rating books and magazines like we do for movies. The material rated for adults gets put in one area of the lirary while the lower rated material is put on display for the public. The higher rated can be put in an area that is not seen everyday by the public, and is kept secret thus protecting the uninfluenced minds and the people wanting said material can still have their way.     Another solution might be to just get rid of the censored material. It, in my opinion and experience, corrupts both the mind and soul, and causes man to be things he is not by nature. Men, who have nothing better to do than to sit and read or look at things ment for inside of marrage, often accoplish nothing of great value in their life time. They are thus a hinderence to soceity. But if they can not accsess the material, they then need something to do to fill that time. In which case they can find a good classic to read or maybe pick up that dusty @CAPS1 off the shelf.     This thus leaves the labraries with a choice. They can leave their library the way that they want, they can put the offensive material in a seclueded room, or they can remove definent offensive material and keep soceity on its feet accomplishing great feats for the next generation to odserve. Thus the amount of offending someone goes down and maybe the library attendence goes up.",3,3
3728,"Society is always dealing with what is appropriate and what is not. We witness things of that nature every day even when we are not trying to. It is the classic argument between two parties trying to prove eachother wrong, what is admissable and what is not. We should try with all our efforts to keep inapporpriate books off of our shelves and out of the hands of the young population.     People can be influenced to do just about anything. There are too many of these tales to pick out even one. The interesting thing is people can be affected by someone indirectly. Whether it be through television, music, or books, man can be molded into something through what they are conditioned to believe.      The influences one encounters can be either positive or negative. As a lowly person who only wants what is best for society, I know that movies with criminal acts or explicit images do not help anyone become a better citizen. It is no different with books. Books that have politically incorrect messages are in no sense better than movies that achieve the same goal.     I am not in any way against reading books, rather I am quite on the contrary. Reading is overall good for mental and social health because it allows us to explore things deep inside of us that are often rendered useless in our fast-paced world. But if one is constantly overexposed to books that are against our very human nature, they should be removed for the good of the people around us. If one cannot find a book to read that is not deemed appropriate, then he or she needs to take a look at themselves. There are millions of books that are not only exciting and stimulating but also can have a positive influence on one as well.     We as members of the @ORGANIZATION1 are already in enough trouble as it is with all our financial troubles and what not. We do not need to add more to the table when we let the population gain access to obsene books that would typically make someone only rebellious to society. If something is making the people of our lands more riotous than it should immediately be censored or removed from society in general. Believe it or not, there are ways to have fun and get a good message across at the same time!",4,4
3584,"TAKING THE @CAPS1 TO @CAPS2      Everyone will read a book in their lifetime at some point in their life.  The author cannot filter through the entire book to remove offensive language, racial remarks, slurs, etc. One offensive to a person @MONTH1 not be offensive to another.  I strongly disagree that books should be removed if they are found offensive to a specific group, person, or community.     Most books are organized in categories by maturity and genre.  The reader should know where he/she stands among these categories, so they will not be offended.  Maturity comes with understanding.            Books are sorted by genre.  Most, to all, times the @CAPS2 takes from the genre.  The era of when the book takes place is also a key factor.  When @CAPS2 an author must take this into consideration.  If the setting of the book was in @NUM1 A.D. the author would not want to use grammar from the present day.  The reader should be prompted on what books they @MONTH1 read before doing so.     From one reader to another, taking the @CAPS1 on what we read is the real solution.  Maturity comes with understanding.  If the reader is mature enough to understand the @CAPS2 then the book corresponds with the age of that child.  This is why I strongly agree that books shouldn't be removed from shelves if they are found offensive to one person, group, or community",4,4
3011,"Would you want your childern reaing about things that only @CAPS1 know's what? When you go to a library you aspect to learn about @CAPS2, @CAPS3, @LOCATION1's @CAPS4,@CAPS5 etc. Libraries are for learning new things about the world that will later help you in @CAPS9. When you first walk into a library you except to see people checking out @CAPS2 books , or books that catch your eye just by the title. If we find a book is offensive , or will not help better our childerns' future then stand up and fight for their own  mental development.     We must also think of what the childern want to read. They have the right to read what ever they want, as long as it's entertaining to them and they are learning something new. Some books teaches them about the world they are growing up in. There are some books that I would not let my own child read, but I know in my heart that she is learning something that I @MONTH1 not be able to teach her. Those types of books of are what I call, '@CAPS7's'. Those books that can come off seeming offensive, when in the end they are actually, what I call '@CAPS8', helping to prepare them for what is it come. Not every book will be full of rainbows, pretty colors, or pop-ups. They must know that they are some people they have to be mindfull of, and people who are educating them on @CAPS9. They have to learn the difference between what's right, and what's wrong.          Remember the first book you ever read by yourself? I do. It was called 'Of @CAPS10 and @CAPS11'. I read that book when I was @NUM1. Till this day my mother says, 'I tried to stop you from reading that book so many times , it had dangerous wording that an @NUM1 year should no be able to read at that young age'. What she did not know was that; that book had taught me alot about the world back then. That knowledge I had obtain then had helped me later on my @CAPS9.           Some books are ment to be read while some aren't. If you feel your child should not read a certain book then read it for yourself, and then tell your child the reason why they can not read the same book you had just read.",4,3
3501,"There should not be any style of censorship in the @LOCATION1. I am a strong believer that our country is the best because we are allowed by law and the constitution to have our own ideals, likes, and even dislikes. I understand that libraries are a place for all people of all ages, but I do not believe that they should censor what they put on their shelves.      In the US we are known for accepting all different types of lifestyles, and religions; this is one reason I think censorship is against @CAPS1 policy. One of the things that sparked our countries secession from @LOCATION2, was censorship. The @CAPS2 would not allow the colonies news papers to speak poorly of him or his ideas and policies; this is why when the US was formed the @CAPS3 @CAPS4 built freedom of ideals and speech into the constitution.      I do, however, agree with some censorship. The movie and song rating system is a form of censorship I believe to be needed. with out this form of censorship, small children would be aloud to see and hear things they are not ready for. This is also a good way for people to decide if they would like to experience the ideas and language presented by the matieral rated.     I think that there should be a rating system (or explanitory system) present in libraries. Instead of pulling conservercial books off the shelves completly, we should rather put a warning on them. I feel strongly that I have a right as an @CAPS1 to read and experience any type of book, music, news, or picture I would like to see. If we start restricting what we as @CAPS5 are alowed to see, we start loosing our freedom; we become like those who live in comunist countries where only what the government wants you to see is seen. The statement made by Katherine Paterson supports my ideals greatly; especialy 'And then we have no books on the shelf for any of us'. This sentence shows that if we start pulling or restricting the things people deem offiencive, there would be nothing left to read or enjoy.     Censorship in the @LOCATION1 is a direct violation of our consitiution. I am a believer in, if it bothers you or upsets you, dont read it. By doing this we can get rid of censorship, and be able to fully enjoy all our rights as @CAPS5. We also allow our right to be informed to be excercised.",4,4
3988,"Books are an extremely important part of literature. Many different people have different views of different kinds of books. Some people enjoy books, and some people don't. Some people are fast readers, and some people aren't. Reading is in individual task. Your reading abilities, interests, and preferences are different from everyone else's.       The main idea here is preferences. You @MONTH1 enjoy a certain genre or topic that someone else @MONTH1 find offensive. But just because someone else doesn't enjoy it, does that meant that you shouldn't be able to enjoy it for yourself? Just because it is in the library, doesn't mean you have to check it out. Just because it is the new release in the book store and everyone loves it, doesn't mean YOU have to buy it. Other people can avoid the topics that they don't like. For example, if the local library took out all of the books that had anything to do with drugs and alcohol, because they found them offensive, the fact that they took the books out, could be offensive to the other people who enjoyed them. Also, some things could be offensive to some people that could be critical to research for others. Then, some people @MONTH1 not have the resources available that they need.     If it is music, movies, or magazines, then it should be dealt with the same way.  People have a choice of what they want to buy and rent. If a certain artist or actor is offensive to them, they should find something else and leave that @CAPS1 or movie for someone else to enjoy. They shouldn't complain about it. How would they feel if someone found their favorite band's music offensive and then no one could rent it from the library or buy it anywhere? Then, people would understand that everyone is different in their own way and not everyone will enjoy what they do.      I think that knowing that everyone is different and special in their own way should show that, everyone is going to enjoy different things at different levels. Every book, movie, @CAPS1, magazine, and any other thing, should be left for people to enjoy and hopefully you can find something you enjoy too",4,4
4328,"No, the books and etc. should not be moved ,because anybody can be interested in them. Someone could come in the library looking for any of them items and can't find it because the library removed them.      First, there will be no reason for removing the books from the library unless more new books and etc. are coming in. Everyone is into different materials, books and stuff. That's why I say do not remove the items. People might come in the library looking for a book that they want. If that person can find it they might complain, or take there bussiness else where. Then the library could start losing bussiness.     Second, if they library start losing bussines it might be forced to close down.Then if the library close down the people who come there often won't have no place to study or work or nothing. What if those people don't have transportation they will not be able to get to another library. The owner of the library can lose money if it close down, because everyone don't have computer's and books at home. They can come do there research and rent books.     Third, some people go to the library for peace and quiet, and the library is there only place. Little children go to the library looking for books and etc. to and if they can't find the book they want they might start crying. If they start crying people who are working can be disturbed. Then that person or people who are disturbed might leave and never come back and thats money lost. Students school's might not have the book they are looking for, and they come to the library and the library don't have it that student won't have a book.     In conclusion, these are some reason and examples why I don't believe the books and etc. should be taken out of the library. Someone can be really interested in them items and they come to the library search for them and can't find them.",3,3
3774,"I disagree that certain material, books,movies, or magazines should be removed that are offensive to some from the shelves of libraries. There are three reasons why I argue this topic. One reason is that books, music, etc. that are inappropiate should not be in a section that a child would go and look for a book. A second reason is that for a child to check-out a book and the book is inappropiate, they should have identification to show that they are of age. The third reason I think that things like that should stay on shelves is because adults have books, movies, music,etc. for them for many reasons.     Ther should be nothing inappropiate in a library that a child can get a hold of. A child should only have things appropiate that they can grab so parents do not have to be worried about the things they child hear, see, or read. There are some libraries that will let a child get a magazine or book, and let the child check the book or magazine out. This is where th problem begin.     All libraries should identitify each child when they check-out a book, magazine, or music. that why movies are rated, so that a parent could what kind of movie their going to be watching. A parent should keep a close eye on what their child read or see.     I think that things inappropiate should stay on shelves, but I also think it shoud stay in the adult section of the library. Childeren should not be able to go in the section for the adults. The inappropiate things on the shelves could be useful for the adults in some cases. There are some material that a  adult @MONTH1 need to help in life.     In conclusion, childeren should not be able to get a hold of  inappropiate material in a library, all libraries should identify someone the inappropiate material,and adults should be able to have this type of material on shelves in libraries",3,4
4715,"Katherine Paterson wrote about the true impact of censoring what is put in a library.  In the quote she mentions how if what every single person finds offensive is removed, eventually nothing is left.  The question of, 'Should library content be censored?' is a largely debated question.  There is a simple answer to this question.  It should not be censored.     Views on what should be censored and why, vary based on type of person and their background.  As Katherine Paterson said, 'All of us can think of a book that we hope none of our children or any other children have taken off the shelf.  But if I have the right to remove that book from the shelf-that work I abhor-then you also have exactly the same right and so does everyone else.  And then we have no books left on the shelf for any of us.'  @PERSON2 made the observation that most people would not think far enough to realize.  The most logical thing is to not censor what works are put into libraries.  As was previously stated, once every person pulls what they deem should not be on shelves, the library will be but a building without books.     To keep children from getting into certain types of literature, movies, and music, libraries could have a section set off within the adult section for these works.  Many public libraries do not even have these types of items that would be so highly disputed for the simple fact that if the library does not even carry it, they do not have to worry about issues.  These public institutions are working for the best of the visitors, and if there are works needing to be kept from the childrens' section, there is no doubt that this would be taken care of appropriately.       The topic of censorship is a very touchy subject to start with.  This goes back to the debate of what exactly should be censored.  The problem with what is 'explicit,' is that there is no black and white line.  Does a book become inappropriate because a teen girl becomes pregnant within the pages?  In some eyes, the fact that a teenager got inpregnated within a book makes it inappropriate, but critics will argue that this is life and to shield the world from reality makes us all blind.  Proper instillation of morals and values on the homefront will help young citizens make intelligent choices, but expecting the world to censor itself for each individual is something that would never be possible.     Censorship in libraries is a touchy subject, but like Katherine Paterson said, if every person in the world removed what they thought inappropriate, there would be no books left.  This truth being stated, censorship in libraries should be stopped before every book is gone.  As the world turns, life cannot be stopped because bad or inappropriate things exist.  It can only be learned that yes, these things @MONTH1 exist, but by using better judgement the whole world can get along just fine without trying to remove everything 'bad.'",4,4
3168,"Picture this: you come home one day after work and before you even enter the house, you hear music blaring from your child's room. As you step closer, you begin to hear the lyrics that go with the banging bass and you realize that that isn't just any music, it's completely unedited, expicit versions of vulgar songs. Now, who would want their child listening to songs that make it seem like drinking, doing drugs, and other various risky activities are okay? I know I sure wouldn't.     Music isn't the only source of offensive material in today's society. It can be found nearly anywhere. In books, magazines, @CAPS1 shows, movies, on the @CAPS2, you name it. All of these are easily accessible by children of all ages. That is why there should be censorship of certain materials, to a certain degree. By this, I mean that if there is a dirty book in a public library, it should only be able to be rented by people who are of a certain age. Just because it's bad doesn't mean that it has to completely vanish from the face of the world. There should just be a limitation on who can view it. That applies to everything that could contain offensive material.      Kids are kids. There are certain things that should be absolutely off limits to them--such as explicit movies, books, music, etc.--as they do not need to know about drugs, sex, or alcohol at such a young age. Censorship should definitely be in effect in places like public libraries where young children are bound to be. But, as mentioned earlier, censorship should only be to a certain degree. Keeping childrens' minds clean for as long as possible would be a very positive thing to do for both them and our society in general",4,4
