id,text,score,score2,native_speaker
1706,"Dear @CAPS1 @CAPS2, I think computers have a good effect on people and not a bad effect. I think this for three reasons. My first reason is that they relieve stress. Without a computer in my opinion things would be a lot more stressful. With a computer you can easily look things up without wasting time or being stressed out by having to look for something. My second reason for thinking computers have a good effect on people is technology. Without technology things would be so much harder. Without computers it would be harder to neatly type assignments, print out pictures, and getting information. If we didn't have technology as in computers I think a lot or things would go wrong. My third reason for thinking computers have a good impact on people is that without them factories would crash. i say this because if you think about it could in a factory is ran by some type of computer. Without that computer telling the machines what to do everything practically wouldn't work! without the computer everything would become so time consuming that no one would want to get the work done. These are my three reasons why I think computers have a good effect on people.",3,3,0
303,"Dear @CAPS1 @CAPS2, The use of computers does not benefit our society. Instead of spending time with the people we love, like friends and family, our time is knawed up by the one electronical device that many people depend on; the computer. This is not a very good thing to have an electronic device like this in our ever day lives because it uses a lot of electricity, it is expensive to buy and replace, and it allows hackers or other bad people into things we dont want them to see. But using electricity is @CAPS4 the start. By using electricity for this nonsense device, we waste money. We also are doing our part to destroy the environment. Greenhouse gasses and fuel are poisoning the air and being wasted. ""I don't have a computer at my house, and I get along pretty well."" @CAPS3 a local environmentalist. So that's @CAPS4 it; we can get along well without the computers taking over our lives. Along with not being good for the environment, it is also not good for the economy. My dad always @CAPS3 how he doesn't like to waste money, and then he goes and purchase a computer. Not only has this computer crashed once, but twice! A waste of money has been put into buying it, restoring it once, and now restoring it a second time! Plus computers waste our time. I always remember my grandfather saying "",I don't know why you folks waste all your precious time and money on these doo-dads!"" With so many people aquiring new devices, fewer people will be able to keep track of what goes where and who sees it. This is a terribele thing for the people, but a very, very good thing for the bad people. By ""bad people"" I mean internet hackers. As time goes on, and people get less aware of what's happening in their electronic lives, more and more hackers will be able to get what they want; in fact, anything they want. ""@CAPS4 a few months ago, I put a message on the message board on the @CAPS5 website which said I would be on vacation for a week. My address was also posted, because that message was a mobile upload. When I came back from vacation, half the things in my house were gone!"" said a local resident. Burglaries, robberies, and internet access can lead to chaos. Feeble protection is never good. But remember, computers are using massive amounts of electricity, amking many people waste time and money, and allowing bad people into things we don't want them to see. Please understand the meaning how terrible computers are.",5,5,1
138,"@ORGANIZATION1, @CAPS1 has been a lot of discusion of whether computers effect people in a positive way or in a negative way. I believe that computers effect most people negatively. I think this because people lose their people skills"" by talking through the computer, computers @MONTH1 also lead to danger, and because people tend to forget about their priorities in life. From what i know. most people that use computers use them to talk to friends and other people around the world. Instead of hangingout with their friends they talk through the computer and if that what they do, more than hanging in person then they won't reconize the facial expressions given to them by certin people, while talking in person you get the full on experience of communicating with them. You get the tome of voide in addition to the facial expressions. You also get the body language which you can't get from on the computer unless you are using webcam. Computers have led to many dangers. These dangers effect every user and their families. @CAPS1 have been many cases of young teenagers being tricked by ader users into showing them parts of their body to making the teens believe that the older user can relate to their problems and are the same age. sometime the teen is persuade to leave their home and neighbor hood to meet the other user. Also, another type of danger is cyberbulling. Cybe bulles lower yourself-esteem. The bullies call you names and pick on you and sometimes make you feel suicidal. If we hadnt had any computer then none of these dangers would be occuring. With computers people have lost their judgement in top priorites. Some computers uses tend to forget about the important things in life such as family, schools work, and their own health. Some people would rather stay on the computer than hangout with family and friends. Others tend to choose not to do their homework and work on their social life on the computer instead. Since they are on the computer alot they seem to ignore their health. They don't exercise as much and don't eat as healthy. So in my opinion, life without computers would be good for everyone. People would still have the people skills they had before, their wouldn't be as much danger, and people would focus more on the important thins than their online social lives.""",4,6,0
833,"Dear Local Newspaper, Are you spending all your precious time on a computer? On the computer your probably wasting every second searching or playing games. You shoudn't spend alot of time on the computer it will just wash away your brain. You shoudn't go on computers for a long time because instead you should be exercising, enjoying nature and interacting with people. First of all, spending too much time on the computer is not good for you because you should be out exercising. On computers you can't jog the fat you gain by eating food. By jogging instead of going on the computer you can lose weight and see the real world than the world behind the computer screen. Nevertheless computers are fun to go on like playing addicting games. but isn't it better to play a real sport like soccer. In soccer you have to use your mind and alot so it is much better than sitting or laying around dazed at a computer screen for a long period of time. Don't you love playing outdoor games! Like playing tag or hiding go seek isn't that more fun than playing an addicting game on the computer screen? For me I think it is. That is my reasons I think you should exercise then stare at the computer screen. Secondly, you shouldn't be on the computer for a long amount of time because you should instead be enjoying nature. Nature is beautiful and refreshing unlike a computer. Yeah I know computers offer alot but do they offer the fresh air outside, the warm breeze land living animals the earth. I don't think so and neither should you. Instead of going on your computer when it is raining not you should play with your pets and if you don't have any put a raincoat umbrella and go outside. Especially in the @DATE1 you should be outside enjoying nature go for a swim or bring your annoying little siblings to the park. There is more to often in use than going on the computer. More importantly, you shouldn't go on the computer because you are better off. Interacting with living people in person. On the computer talking to people you are going no where on the computer chatting with people it is impossible to read someones expression. So get off the computer and hang with your family and friends. Get into a fun conversation or debate. Make new friends when your at the mall or discovering a new trail in a park. Do anything but interact on the computer when all you see is typed words writing back to you. Get your self out in the world don't just interact with people but the world not the computer screen. In conclusion you shouldn't spend most of your precious time on the computer. It isn't nessasary for you to spend all your time on the computer when you could be exrcising, enjoying nature and interacting with people. I strongly beleive people should be outside than on a computer. So what are you waiting for get off that computer and take a hike!",5,4,1
1066,"@ORGANIZATION1, @CAPS1 there is alot of talking and arguing about computers. Some say they are helpful to society and others say not. As for myself I am one of those on the side of which is for computers. I think the do alot less harm than good. First of all the hand-eye cordination of the user is mostly improved over a period of time, which helps withe learning musical instruments. Also it gives a great learning ability to people, particularly student. If there were computers, for a student to do a report he/she would have to read through an encyclopedia, which takes a great amount more time than plainly looking it up on the internet. Finaly computers are great for communicating with far-away friends or family. The first subject on my agenda is the hand-eye cordination skills. These skills are the ability to work with your hand and eyes simultaniously. There is a number of impacts these skills can make. The most apparent is musical instruments. If you are trying to learn a new song to be played on guitar you must move your fingers to the notes coresponding with the screen. Another place where hand-eye cordination comes in handy is sports. One sport where hand eye cordination makes a huge impact is in football. If the ball is thrown then the wide recever must watch the ball with his eyes and make sure he puts his hands in the best position to catch the ball. I am also going to argue the vost world of learning that is provided by computers. Lets just say someone asks you who was the @NUM1 president of the @ORGANIZATION2 where would you go to find that answer? I don't know about you but I am definatley going to look it up on google (internet search engine). Also schools @CAPS1 can ask alot more of their students because they have all this information at there desposal. Lastly I would like to cover the communications abilitys that the computer puts out there. First of all let say you have a very close friend move out-of-state"" how are you going to keep in touch. You could try using phones but yet the long-distance fees have sky-rocketed over the past @NUM2 years. Did you know that if you talk long distance for @NUM3 mins a day that would be over @NUM4 a month. in todays ecconmy you need to save money not talk it all away. The internet charges no additional fees for chatting no matter how far away you are from each-other. So hopefully my letter will be able to surposs ""@CAPS2'bama's failed health care bill"" to at least make it somewhere in the paper. People need to know the facts about computers before they try to argue about them.""",5,4,1
275,"Dear @PERSON1, Advances in technology and computers is a bad thing. When the computer company's such as @CAPS1, @ORGANIZATION2, and @ORGANIZATION1, make cool updates to their computer systems people do not want to shut their computer off, which is not a good thing. As a child did you spend all of your time indoors and online? Computers take time away from spending time outside, or exercising. And they affect very crucial family time. Computer advances are bad for our country and town. Now-a -days, kids would much rather spend time on their computers than outside. This can have a very negative affect. First of all, it is important that students see and feel nature, and last time I checked they can not do that on a computer. Children need to see animals, smell the sweet scent of flowers and feel the breeze brush against their cheeks. A second reason that going outside is important is for the sun. Even though the sun does have harmful days, it is still important for health that everyone spends some time in the sun. The computer takes times away from nature which is unhealthy and dangerous. Computer also take precious time away from exercise. If people spend all their time on computers, then do they exercise. Everyone is supposed to get at least @NUM1 minutes of activity daily, but no one ever spends that much time working out. Also, obesity numbers have increased greatly since the invention of personal computer and the internet. Obesity can make life difficult for people and can also lead to disease. Life with computers has lead to less people exercising and obesity rates increasing. Another issue computers cause is that people are spending less time with their families. Family is one of the most important things in the world and everyone should spend a few hours daily with their family. Plus with encouregement from their family, many students excel in school and sports, which gives them graet self-confidence. Computers take time away from something that should be thw most important to everyone, family. Many people are affected negatively by computers. The technology takes very important time away from children and adults. It takes time away from the outdoors, exercising, and family. Yes, computers @MONTH1 make life easier, but they have a much more negative affect than they do a positive one.",6,5,1
1529,"Dear @ORGANIZATION1, I rencently started researching the effects that computers have on people an have found some shocking facts. I do not belive computers benefit society at all. Three reasons why I believe this is because it makes people lack exercising, enjoying nature, and interacting with friends @CAPS1 is a rising problem in @LOCATION1 and a major factor towards @CAPS1 is computers. In fact statics so that people who spend more time exercising than looking at electronics all day actully live longer lives. So my first reason about why computers do not benfit society is that it lets people lack exercise. People need exercise to live and with computers it is becoming more lacking than ever. Also, exercise give you interfines a not more that makes you happy if you live your life exercising instead of watching or doing violant things on the web that will lead to a less violant future. My second reason is that computers cause a lack of enjoying nature. Nature is a beautiful thing filled with simmering lakes, the beautiful scent of balsam fine, and thosands of creatures. With computers thoshands of kids are missing out on the fresh air and adventures that nature has in store. My parents didn't have computers when they were little and they say that they enjoyed running around their neighborhoods playing sports and other fun activities. Finally, computers lack in interacting with friends. Remember when you were little and you called up your friend to hang out and sleepover, well now computers have caused people not to have to call or hang out with friends. Instead you can just @CAPS2 or email them and @CAPS3 you can have a conversation without even looking at a person! In closing, computers cause a lack in exercise, enjoying nature, and interacting with friends. Please help and encourage others to help me put a stop to computers! Thank you for your time and I hope you learned some shocking and interesting facts from this letter. ",4,4,0
525,"Dear Local Newspaper, I feel that computers are very beneficial to our society. They are very helpful when it comes to homework, you can talk to people online and you can make plans/ without even leaving your house. First of all, computers help us a great deal with homework. Many kids are adamant about it, but with the help of a computer, they will be more willing to get it done. For example, when I have a difficult science/social studies assignment, I can research it on the computer. Also, @CAPS1 I have a just coming up and I left my textbook at school, I can just study on my computer. So, as a result, computers are very helpful with homework and studying. Secondly, computers make it very easy to communicate with others. For example, talking on the phone costs money, and why would you money when you could text, chat voice for free? Also, many people use e-mail because its very easy and you can send documents to others. Lets say, that I had a work document on yearly company profits and I needed to got it to my boss. No problem, I just it to an email and I don't have to drive. Finally, my last point, computers make it very easy to make plans or connections. I know that @NUM1 out of @NUM2 people love to travel, but you need plane tickets. Just go to the website and do it online. Its fast, easy and safe. Also, @CAPS1 you needed to make reservations for something, like a hotel, you just have to go online, pick a date and when you arrive your room will be ready. I can see how this would be very beneficial to traveling business men who might need a room for the night. In conclusion, computers play a huge roll in the world because they can help with homework, its easy to communicate, and you can make /reservations without even leaving your house. And the best part about them is that they are fun and easy to use!",5,4,1
1614,"Dear @CAPS1 I think that computers are beneficial to our society for example, computers are very helpful to everybody. Computers alsi travel nows faster. And they can teach us new things. I am not saying computers dont have their downs, but, computers also have their ups. Computers are very helpful in many ways. They help people find lost fmaily members, and they help police officers find many criminals. Haven't you lost soemone in your family, or haven't spoken to them in years and always wanted to find them and get back in with them? Well that's what computer are for. Aslo haven't you been concern about the many criminals on the street, and wanted to get them of the streets and in jail where they belong but didnt have a way to do that? Computers  help. Haven't you notice that computers are  help police many women in the present time? Computers  people in the , but they help travel fastre for example say you heard there was hurricane or tornado and you needed to find out how . All you have to do is on the computer and look it up. Also, there an earthquake in @LOCATION1 and the didn't information to help you. You would just go on the computer and find all the information you need. COmputers are of many things for they you. Computers teach you alot, like hand-eye cordiantion. Think about it, you might on hte computer that, but it helps. If you yourself while you are on the comp[puter you would start to see that you are typing fastre and learning where all the letters are on the keyboard now, then when you saw your first computer. Computers though, not only teaches you hand-eye cordination but it also teaches you of many wonder places. Such as @CAPS2 falls, rain forests etc. Now, dont get me wrong, @CAPS3 not saying that computer dont their downs and that people dont take advantage of computers. but, I am saying that they help society alot. They travel news fatser. Also they taught alot to people. So take my opinion into consideration. And think about how much computers have done for you.",5,4,1
361,"Computers have a very positive effect on people. Computers help people in many ways. They teach people about history and faraway places. They also are a great way to yourself. Computers also are another way to comunicate to people for away it only a few houses down. Computers have a of knowledge and more is added everyday. Everyday i go on the computer i learn something new. You can search the word @LOCATION1 and instantly have millions of web pages in fron of you that all had new knowlage and exciting things about @LOCATION1. Computers are much faster than having to go down to local library and look for a book that has the information you need. You can also find diffrerent veiws and perspectives of a subject online. Depending on what website you go to you can get opinions on certain places and events, which you cannot find books at the library. Computers have a amount of knowledge instantly and also some opinions of things. Computers can also entertain you. There are many entertaining website online that you can go to when you bored. There are books and magazines you can read at anytime you want. If you like to read then check online, these @MONTH1 be a book you enjoy free of charge to read. Some people like to play games. On the computer you can find almost any game you want to play. These are board games, video games, strategy game, adventure games, and many many more than that. I could go on for hours listing at the different types. If you like sports you can look on the internet and find pages about different sports. You could find ways to improve how you play or you to play that sport. If you like to watch @CAPS1. you can also do that on a computer. Some @CAPS2.V programs put the diffrent episodes online so people can easily view them just by one click of the mouse. Computer can anybody who uses it. Computers help tech you things entertain you. but they also can communicate to your friends and family. Many programs let you to people through the internet. You could send emails to your cousin half way across the world. In emails you can attach pictures and files with text to communicate. These are various programs. IM means instant messaging, that means that instantly you message to another person using that program. You put a message in and away it goes instantly reaching ther person you trying to teach. Now thse are even more to communicate. you can make audio calls to a person using the computer. It is like a phone just not.Web cams make it possible to record and send video instantly, but can also uses to talk to one through a video call. The program connects you to your friends or family and you can see them thourhg a video. computers are a great way to comunicate with others. Computers help in a positive way. They give you access to an amazing amount of information. They can you. Computers also great way to communicate to people no matter how far away that person is. I would completly say that computers are a positive thing.",5,5,1
383,"Dear @CAPS1, @CAPS2 you think computers are good for providing us with useful information? I @CAPS2. This is only one of the reasons why I agree with the use of computers. The reasons are: They provide us with information for learning, they allow us to communicate with people, and they provide entertanment. However, I @CAPS2 understand why someone would oppose than. Let me explain my point of view. Whenever I need to @CAPS2 or know something that I don't know about, I go to my computer and look it up. Many seach engines such as @ORGANIZATION1, @CAPS3 and @LOCATION1 allow us to input a question or phase and gives us links to other websites that hold information about the topic we are trying to learn about. Another way computers help us learn is because we can download and install software that help us with things like learning a forgian language or even just practicing math. For example, my grandfather wanted to learn how to speak @CAPS4 but he didn't have time to go to classes. So he ordered a program that teaches him how to speak @CAPS4 while he is home. Another reason why I think that computers benifit society is because it allows us to communicate with other people. One way is through social sites where you have a profile and you can ""chat"" with your friends by typing in what you want to say. Another way is through video chat. This is when you have a webcam and you can see and talk to other people. I think that this is very important because @PERCENT1 of people that the computers leads people to become ""anti-social"". It also helps you connect with old school friends and relatives that are far away. This @MONTH1 actually improve some people social if they are shy. @CAPS2 you like music, movies, and more? Well you have axcess to the through your computer. This is yet another reason how computers can benefit us. If you are going somewhere that you think your kids will be bored all you have to @CAPS2 (if you have laptop) is put a movie in for them to watch. Another way that computer provide entertainment is they let us listen to music. If you have an ipod or @NUM1 player you can download the music from the computer. It also provides us with entertainment if we are interested in playing video games. There is entertainment for everyone. Even though I support the use of computers I understand the negitive effect they have on many people. Some of those things are: people stop excersiceing and become over weight, they @MONTH1 become less interactive with other people, and they @MONTH1 not spend as much time in the fresh air. In conclution, I think that computers can benefit our society. The reason why I think this are: they provide us with information, allow us to communicate, and provide us with entertainment.",6,5,1
